index site,latitude,longitude,pays,couleur,capacite offshore,scores,capacites
220,44.0,4.0,France,#808080,Non,0.0023922901382307867,4560.716810433951
221,44.0,5.0,France,#808080,Non,0.0023922901382307867,4560.716810433951
222,44.0,6.0,France,#808080,Non,0.0021073560098477002,4017.5118502930645
223,44.0,7.0,France,#808080,Non,0.001703027597506855,3246.690887722568
224,43.0,0.0,France,#808080,Non,0.0013833256246693745,2637.203711168344
225,43.0,1.0,France,#808080,Non,0.001518278002881425,2894.4800214635975
226,43.0,2.0,France,#808080,Non,0.0019042568563956371,3630.3189640578044
227,43.0,3.0,France,#808080,Non,0.0028862829907366936,5502.476119078713
228,43.0,6.0,France,#808080,Non,0.0028862829907366923,5502.47611907871
234,42.0,9.0,France,#808080,Non,0.002392290138230777,4560.716810433932
236,55.0,-8.0,Irlande,#8c0034,Non,0.003339344988625128,423.7862236583094
237,54.0,-10.0,Irlande,#8c0034,Non,0.0021926014301745537,278.25644946736975
238,54.0,-9.0,Irlande,#8c0034,Non,0.002392290138230777,303.59834249807324
239,54.0,-8.0,Irlande,#8c0034,Non,0.0021926014301745537,278.25644946736975
240,54.0,-7.0,Irlande,#8c0034,Non,0.0021926014301745537,278.25644946736975
241,53.0,-10.0,Irlande,#8c0034,Non,0.0015407692393775772,195.53438764454938
242,53.0,-9.0,Irlande,#8c0034,Non,0.001821257410391669,231.13029737528606
243,53.0,-8.0,Irlande,#8c0034,Non,0.002176444268148406,276.20599265520445
244,53.0,-7.0,Irlande,#8c0034,Non,0.003244428028282964,411.7405978479937
246,52.0,-10.0,Irlande,#8c0034,Non,0.0016555961037753263,210.10671946513256
247,52.0,-9.0,Irlande,#8c0034,Non,0.002111537898656008,267.96892062094327
248,52.0,-8.0,Irlande,#8c0034,Non,0.003200447566831539,406.1591698323986
251,47.0,12.0,Italie,#ffe5ad,Non,0.0021295341977550686,2280.087754753924
252,46.0,10.0,Italie,#ffe5ad,Non,0.0017266953544567943,1848.769058528284
253,46.0,11.0,Italie,#ffe5ad,Non,0.002122030699965577,2272.0537755646346
254,46.0,12.0,Italie,#ffe5ad,Non,0.002976821525726764,3187.27650208797
256,45.0,7.0,Italie,#ffe5ad,Non,0.0013927746992336931,1491.240920292126
257,45.0,8.0,Italie,#ffe5ad,Non,0.0015217797092677795,1629.3663112770228
258,45.0,9.0,Italie,#ffe5ad,Non,0.0015783228811297489,1689.9069656198049
259,45.0,10.0,Italie,#ffe5ad,Non,0.0019431729955025777,2080.551210252751
260,45.0,11.0,Italie,#ffe5ad,Non,0.0029452658536877154,3153.4899108770314
263,44.0,8.0,Italie,#ffe5ad,Non,0.002107356009847701,2256.341615939375
264,44.0,10.0,Italie,#ffe5ad,Non,0.002107356009847701,2256.341615939375
265,44.0,11.0,Italie,#ffe5ad,Non,0.002915110299937873,3121.2024233526126
268,43.0,10.0,Italie,#ffe5ad,Non,0.0028862829907366936,3090.337084452958
269,43.0,11.0,Italie,#ffe5ad,Non,0.0021073560098477002,2256.341615939374
270,43.0,12.0,Italie,#ffe5ad,Non,0.0023922901382307867,2561.4199836512607
271,43.0,13.0,Italie,#ffe5ad,Non,0.0023922901382307867,2561.4199836512607
272,43.0,14.0,Italie,#ffe5ad,Non,0.0023922901382307867,2561.4199836512607
273,42.0,12.0,Italie,#ffe5ad,Non,0.0016807834781805006,1799.6113098498593
274,42.0,13.0,Italie,#ffe5ad,Non,0.0015783228811297489,1689.9069656198049
275,42.0,14.0,Italie,#ffe5ad,Non,0.0015783228811297489,1689.9069656198049
276,42.0,15.0,Italie,#ffe5ad,Non,0.001520022350249984,1627.4847106991094
277,42.0,16.0,Italie,#ffe5ad,Non,0.001680783478180501,1799.6113098498597
278,41.0,13.0,Italie,#ffe5ad,Non,0.0014651631700835972,1568.7471026977544
279,41.0,14.0,Italie,#ffe5ad,Non,0.0012374882875116002,1324.9760881891837
280,41.0,15.0,Italie,#ffe5ad,Non,0.0014651631700835972,1568.7471026977544
281,41.0,16.0,Italie,#ffe5ad,Non,0.0018686743713720627,2000.7856911993024
282,41.0,17.0,Italie,#ffe5ad,Non,0.0028323528478582214,3032.5941947078845
283,40.0,15.0,Italie,#ffe5ad,Non,0.0013836703528127014,1481.49291586401
284,40.0,16.0,Italie,#ffe5ad,Non,0.001670182128298794,1788.2604669873108
285,40.0,18.0,Italie,#ffe5ad,Non,0.002392290138230777,2561.4199836512503
286,39.0,16.0,Italie,#ffe5ad,Non,0.001374214312202857,1471.3683532128484
