h=24, h=168, h=720, h=2190, h=4380, h=8760
20.55, 36.75, 36.81, 39.52, 41.15, 43.21
20.55, 36.77, 36.81, 39.53, None, None
20.55, 36.75, 36.81, 38.51, 38.89, 39.75
MODELE0
None, None, None, 67.34, None, 62.08
